id;tracking_no;moba_id;number_plate;stock;status;created_date;created_by;last_modified;comment;last_modified_by
1;Architect;36934;Solutions;63060;RECEIVED;2022-02-14T11:54:10;Gorgeous Greens;2022-02-14T21:23:49;Unbranded;Universal connect parse
2;Balboa Bedfordshire Soap;11876;infomediaries Self-enabling;2218;OPEN;2022-02-15T09:38:46;technologies Brunei Executive;2022-02-15T07:27:48;Cross-group;Samoa Handmade open-source
3;Loan Grocery;80991;Public-key;2124;TRANSIT;2022-02-14T17:31:54;card Buckinghamshire Nebraska;2022-02-14T17:35:37;Tala Polarised Practical;deliver
4;Illinois Rubber transparent;90324;tan time-frame;80877;OPEN;2022-02-14T22:25:21;Alabama Summit;2022-02-14T12:46:08;Table Alaska;firewall indexing policy
5;bandwidth;60700;quantifying Administrator Car;17459;TRANSIT;2022-02-15T08:22:08;Games Internal architect;2022-02-14T21:15:41;copying;Rapids
6;program recontextualize productivity;36557;virtual Functionality African;80787;OPEN;2022-02-15T00:43:52;Checking Optimized Functionality;2022-02-14T22:12:54;navigate Product Drive;lavender Berkshire
7;Kids green;78760;mint Lao;81478;OPEN;2022-02-15T06:14:43;Granite 24;2022-02-14T16:56:05;Incredible Mexico;context-sensitive
8;Lead Books;2848;Assurance Yen green;7819;CANCELLED;2022-02-14T21:22:30;Dominica;2022-02-14T17:34:56;Account;Baby Salad Guarani
9;intermediate holistic;82327;Shirt reboot;72411;CANCELLED;2022-02-14T20:12:49;Account synthesizing boliviano;2022-02-14T13:46:26;Home;circuit input invoice
10;Web efficient mobile;74513;array Refined leverage;64204;RECEIVED;2022-02-14T19:29:29;well-modulated multi-byte Research;2022-02-14T16:15:08;Programmable Handcrafted Tactics;24/7 Delaware Manager
