id;category;sub_category;contact_no;latitude;longitude;doc_count;email;name;registration_no;address_1;address_2;area;pin_code;hospital_id;odas_facility_id;reference_number;status_ind;last_modified;last_modified_by
1;CENTRAL;CHARGEABLE;connecting;Grocery Division;Grocery;93825;Joy_Dicki@yahoo.com;payment Steel;Massachusetts;Buckinghamshire Movies;Ghana;program Squares Digitized;Tactics up;87059;Iowa payment;Fresh;A;2022-02-14T11:47:14;Borders open-source
2;CENTRAL;TRUST;Executive;Generic;Russian Directives program;2222;Arnoldo_Crooks@gmail.com;Concrete bluetooth olive;FTP platforms Mouse;Practical;Rustic Mouse Dynamic;Pennsylvania;Rubber;58503;black;incremental transmitter;D;2022-02-14T15:34:33;SAS generating
3;CENTRAL;CHARGEABLE;Gold;optimizing;Avon Cambridgeshire Wooden;87181;Nya_Hintz@yahoo.com;infomediaries Account Loan;state open-source Industrial;Personal Lead;overriding Garden;redundant e-services Loan;Soap Zealand programming;13476;Islands;Pizza Producer;D;2022-02-14T17:19:31;optical
4;CENTRAL;CHARGEABLE;Communications PNG;Awesome proactive;matrix payment;48956;Jennings84@gmail.com;Fantastic XML;Account payment IB;deploy Orchestrator;Card Global Future;ubiquitous Car local;GB;59496;Persevering;Baby;D;2022-02-15T06:57:59;Mexico
5;CENTRAL;MPJAY;scalable strategy Fully-configurable;world-class;synergies;52886;Amie55@gmail.com;implement South;Grocery black Soap;Cheese cyan;infomediaries Courts orchestration;Underpass;Games Account;75821;PCI harness;Cordoba;D;2022-02-14T12:35:03;metrics
6;PRIVATE;CHARGEABLE;Health multi-byte;Shoes Armenia;New Credit;28002;Verna.Bailey43@gmail.com;Berkshire Sleek Strategist;executive payment;networks;National Books Ohio;Soap productize;interfaces;20273;Cambridgeshire eyeballs;Awesome Beauty;A;2022-02-15T08:34:00;Computers program Parkway
7;CENTRAL;CHARGEABLE;payment Virginia;port bluetooth Pula;initiatives intermediate Handmade;11309;Ardith.Schaefer@gmail.com;HDD Hawaii tan;Computers Mouse Tools;XML capacitor database;markets;Global withdrawal Estates;Forges Designer Buckinghamshire;22576;mission-critical silver customized;Dynamic synergistic;D;2022-02-14T19:38:03;Algeria
8;CENTRAL;CHARGEABLE;Synergized Engineer;Cotton bluetooth synergistic;Tools primary;20417;Vernie.Kassulke66@yahoo.com;port;Divide;Licensed Morocco;Views;Republic;Path white Practical;38938;fresh-thinking Fords;redefine transparent Hat;I;2022-02-15T01:20:53;Walks Mountain Direct
9;CENTRAL;TRUST;Jewelery Investor;exploit Strategist;pricing Infrastructure Facilitator;34388;Carter_Ledner23@hotmail.com;Oval asymmetric;Optimization quantifying;XSS;Ohio SDD;background;Wooden Internal;99850;harness;West;I;2022-02-15T08:27:02;sky Cambridgeshire Director
10;PRIVATE;MPJAY;object-oriented invoice;Account Minor;Avon grow Officer;782;Keaton_Denesik97@gmail.com;Handmade Generic SMTP;Practical;Electronics Buckinghamshire Plastic;Intelligent Buckinghamshire Shoes;installation vortals;bluetooth Principal;20062;expedite Singapore;parse dynamic Representative;A;2022-02-14T12:15:46;architect
